axiom	refc	conf	expt	poss	nec	time
"SubClassOf(dbo:ArchitecturalStructure schema:Restaurant)"	134983	623	93303	0.04886639017425065	0.0	356984
"SubClassOf(dbo:ArchitecturalStructure schema:ShoppingCenter)"	134983	2244	91638	0.05295962546071009	0.0	1431518
"SubClassOf(dbo:ArchitecturalStructure schema:TelevisionStation)"	134983	1	89912	0.057391959618884214	0.0	14961398
"SubClassOf(dbo:ArchitecturalStructure gml:_Feature)"	134983	96547	0	1.0	0.9586027144427148	47535
"SubClassOf(dbo:ArchitecturalStructure owl:Thing)"	134983	134982	0	1.0	0.9999999999725582	60250
"SubClassOf(dbo:ArchitecturalStructure skos:Concept)"	134983	471	33474	0.3408519724365855	0.0	1652095
"SubClassOf(dbo:ArchitecturalStructure foaf:Person)"	134983	22	71880	0.11600084631154439	0.0	5414920
"SubClassOf(schema:Museum dbo:ArchitecturalStructure)"	3966	3957	0	1.0	0.9999974251605019	3830
"SubClassOf(schema:Museum dbo:Broadcaster)"	3966	1	2	0.9682459677429526	0.0	2711268
"SubClassOf(schema:Museum dbo:Building)"	3966	3957	2	0.9682459677429526	0.0	6187
"SubClassOf(schema:Museum dbo:Museum)"	3966	3966	0	1.0	1.0	1954
"SubClassOf(schema:Museum dbo:Place)"	3966	3964	0	1.0	0.9999998728475878	2249
"SubClassOf(schema:Museum dbo:PopulatedPlace)"	3966	2	3957	2.574839498059589E-6	0.0	2259257
"SubClassOf(schema:Museum dbo:Settlement)"	3966	2	3957	2.574839498059589E-6	0.0	2291638
"SubClassOf(schema:Museum dbo:TelevisionStation)"	3966	1	2	0.9682459677429526	0.0	876687
"SubClassOf(schema:Museum schema:Place)"	3966	3964	0	1.0	0.9999998728475878	2268
"SubClassOf(schema:Museum schema:TelevisionStation)"	3966	1	2	0.9682459677429526	0.0	877061
"SubClassOf(schema:Museum gml:_Feature)"	3966	3114	0	1.0	0.9766523335475922	1738
"SubClassOf(schema:Museum owl:Thing)"	3966	3966	0	1.0	1.0	2284
"SubClassOf(schema:Museum skos:Concept)"	3966	35	0	1.0	0.132559965173521	2193
"SubClassOf(schema:Museum foaf:Person)"	3966	2	0	1.0	0.031754032257047475	56247
