axiom,label
DisjointClasses(<http://dbpedia.org/ontology/TelevisionSeason> <http://www.w3.org/2002/07/owl#Thing>),0.28125
DisjointClasses(<http://dbpedia.org/ontology/Windmill> <http://www.w3.org/2002/07/owl#Thing>),0.704545455
DisjointClasses(<http://dbpedia.org/ontology/VolleyballLeague> <http://dbpedia.org/ontology/SportsLeague>),0
DisjointClasses(<http://dbpedia.org/ontology/Astronaut> <http://dbpedia.org/ontology/Tax>),1
DisjointClasses(<http://dbpedia.org/ontology/SnookerChamp> <http://dbpedia.org/ontology/Agent>),0
DisjointClasses(<http://dbpedia.org/ontology/Monastery> <http://dbpedia.org/ontology/ResearchProject>),1
DisjointClasses(<http://dbpedia.org/ontology/SnookerPlayer> <http://dbpedia.org/ontology/Person>),0.00295858
DisjointClasses(<http://dbpedia.org/ontology/Mine> <http://www.w3.org/2002/07/owl#Thing>),0.864882943
DisjointClasses(<http://dbpedia.org/ontology/SpeedwayLeague> <http://dbpedia.org/ontology/Agent>),0
DisjointClasses(<http://dbpedia.org/ontology/SportsTeamMember> <http://dbpedia.org/ontology/Monarch>),1
DisjointClasses(<http://dbpedia.org/ontology/MilitaryVehicle> <http://dbpedia.org/ontology/GaelicGamesPlayer>),1
DisjointClasses(<http://dbpedia.org/ontology/Swarm> <http://dbpedia.org/ontology/Celebrity>),1
DisjointClasses(<http://dbpedia.org/ontology/Deanery> <http://dbpedia.org/ontology/Airline>),1
DisjointClasses(<http://dbpedia.org/ontology/Cheese> <http://dbpedia.org/ontology/Port>),1
DisjointClasses(<http://dbpedia.org/ontology/Model> <http://www.w3.org/2002/07/owl#Thing>),0.362362525
DisjointClasses(<http://dbpedia.org/ontology/Atoll> <http://dbpedia.org/ontology/SportsEvent>),1
DisjointClasses(<http://dbpedia.org/ontology/PlayWright> <http://dbpedia.org/ontology/RacingDriver>),1
DisjointClasses(<http://dbpedia.org/ontology/Country> <http://dbpedia.org/ontology/Monument>),0.9970385
DisjointClasses(<http://dbpedia.org/ontology/MythologicalFigure> <http://www.w3.org/2002/07/owl#Thing>),0.25439408
DisjointClasses(<http://dbpedia.org/ontology/Mill> <http://www.w3.org/2002/07/owl#Thing>),0.748680739
DisjointClasses(<http://dbpedia.org/ontology/Host> <http://dbpedia.org/ontology/RouteOfTransportation>),1
DisjointClasses(<http://dbpedia.org/ontology/Contest> <http://www.w3.org/2002/07/owl#Thing>),0.799625468
DisjointClasses(<http://dbpedia.org/ontology/Congressman> <http://dbpedia.org/ontology/Politician>),0.007437071
DisjointClasses(<http://dbpedia.org/ontology/HistoricBuilding> <http://dbpedia.org/ontology/Place>),0.024360033
DisjointClasses(<http://dbpedia.org/ontology/Jockey> <http://dbpedia.org/ontology/Athletics>),1
DisjointClasses(<http://dbpedia.org/ontology/Royalty> <http://www.w3.org/2002/07/owl#Thing>),0.024587765
DisjointClasses(<http://dbpedia.org/ontology/Quote> <http://dbpedia.org/ontology/Album>),1
DisjointClasses(<http://dbpedia.org/ontology/HistoricPlace> <http://www.w3.org/2002/07/owl#Thing>),0.026840596
DisjointClasses(<http://dbpedia.org/ontology/BaseballSeason> <http://dbpedia.org/ontology/SportsSeason>),0.03654485
DisjointClasses(<http://dbpedia.org/ontology/Watermill> <http://dbpedia.org/ontology/ComicStrip>),1
DisjointClasses(<http://dbpedia.org/ontology/TelevisionEpisode> <http://dbpedia.org/ontology/Sculpture>),1
DisjointClasses(<http://dbpedia.org/ontology/TennisTournament> <http://dbpedia.org/ontology/SocietalEvent>),0
DisjointClasses(<http://dbpedia.org/ontology/MilitaryConflict> <http://dbpedia.org/ontology/Event>),0.491505939
DisjointClasses(<http://dbpedia.org/ontology/OlympicResult> <http://dbpedia.org/ontology/Cycad>),1
DisjointClasses(<http://dbpedia.org/ontology/Death> <http://dbpedia.org/ontology/Casino>),1
DisjointClasses(<http://dbpedia.org/ontology/Caterer> <http://dbpedia.org/ontology/Dancer>),1
DisjointClasses(<http://dbpedia.org/ontology/NationalFootballLeagueSeason> <http://dbpedia.org/ontology/Politician>),1
DisjointClasses(<http://dbpedia.org/ontology/OlympicEvent> <http://dbpedia.org/ontology/RaceHorse>),1
DisjointClasses(<http://dbpedia.org/ontology/Bridge> <http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete>),1
DisjointClasses(<http://dbpedia.org/ontology/Referee> <http://dbpedia.org/ontology/Agent>),0.233055266
DisjointClasses(<http://dbpedia.org/ontology/NCAATeamSeason> <http://dbpedia.org/ontology/Monument>),1
